lat,long,lat_center,lon_center,lat_metros,lon_metros,labels
-34.65847,-58.6597,-0.012227223685094657,-0.33081920364909934,-1352,-30297,-1
-34.70032,-58.68454,-0.05407722368509127,-0.35565920364909687,-5978,-32571,-1
-34.70606,-58.67032,-0.059817223685094234,-0.3414392036490952,-6612,-31269,13
-34.6746,-58.6645546,-0.028357223685091526,-0.33567380364910093,-3135,-30741,-1
-34.69377,-58.69276,-0.0475272236850941,-0.3638792036490983,-5254,-33324,-1
-34.7058,-58.670826,-0.05955722368509697,-0.34194520364909664,-6583,-31316,13
-34.65749,-58.65866,-0.01124722368509623,-0.3297792036490961,-1243,-30201,-1
-34.66939,-58.6742249,-0.023147223685093365,-0.3453441036490972,-2559,-31627,-1
-34.70249,-58.6694145,-0.05624722368509083,-0.3405337036491005,-6218,-31186,-1
-34.66059,-58.62475,-0.014347223685092558,-0.2958692036490973,-1586,-27096,-1
-34.67826,-58.66888,-0.032017223685095075,-0.33999920364909997,-3539,-31137,-1
-34.64076,-58.56406,0.005482776314906346,-0.23517920364909628,606,-21538,0
-34.63903,-58.521,0.0072127763149083535,-0.1921192036490993,797,-17594,0
-34.70568,-58.6711,-0.05943722368509441,-0.3422192036491012,-6570,-31341,13
-34.66912,-58.6630859,-0.02287722368509293,-0.33420510364909717,-2529,-30607,-1
-34.65212,-58.63886,-0.005877223685089916,-0.3099792036490996,-650,-28388,-1
-34.68102,-58.66608,-0.034777223685090064,-0.3371992036490994,-3844,-30881,-1
-34.64925,-58.62082,-0.003007223685095539,-0.2919392036491004,-332,-26736,1
-34.64008,-58.5502739,0.006162776314909024,-0.22139310364909903,681,-20275,0
-34.70589,-58.6707649,-0.05964722368509001,-0.34188410364910027,-6593,-31310,13
-34.70591,-58.6707649,-0.05966722368509636,-0.34188410364910027,-6596,-31310,13
-34.70564,-58.67102,-0.05939722368509592,-0.3421392036490971,-6566,-31333,13
-34.74485,-58.29442,-0.098607223685093,0.03446079635089916,-10900,3156,2
-34.59774,-58.368885,0.04850277631490485,-0.04000420364909729,5361,-3664,3
-34.74637,-58.2942543,-0.1001272236850923,0.03462649635090287,-11068,3171,2
-34.77923,-58.24208,-0.13298722368509175,0.0868007963509001,-14700,7949,-1
-34.65408,-58.3717461,-0.007837223685093875,-0.04286530364910135,-866,-3926,3
-34.93829,-58.2635651,-0.2920472236850955,0.06531569635090051,-32283,5982,-1
-34.74146,-58.2336,-0.09521722368508989,0.09528079635089881,-10525,8726,-1
-34.75133,-58.28533,-0.10508722368509638,0.043550796350899645,-11616,3988,-1
-34.63314,-58.36012,0.013102776314909192,-0.03123920364910049,1448,-2861,3
-34.79544,-58.14216,-0.1491972236850927,0.18672079635090455,-16492,17100,-1
-34.74973,-58.22299,-0.103487223685093,0.1058907963508986,-11439,9698,-1
-34.66108,-58.34791,-0.014837223685091772,-0.019029203649097326,-1640,-1743,-1
-34.8336,-58.27809,-0.18735722368509045,0.05079079635090267,-20710,4651,-1
-34.82376,-58.2773743,-0.17751722368509348,0.05150649635090332,-19623,4717,-1
-34.72835,-58.24878,-0.08210722368509238,0.08010079635090506,-9076,7336,-1
-34.7408,-58.2352,-0.09455722368509356,0.09368079635090254,-10452,8579,-1
-34.75607,-58.2086258,-0.10982722368509457,0.12025499635090142,-12140,11013,-1
