Timestamp,De que pais sos?,Que edad tenes?,Trabajas en tu dia a dia con una gran cantidad de datos?,Cuantas horas (adicionales a las de las clases sincronicas) podes dedicarle al curso?,Programaste alguna vez?,Hace cuanto tiempo programas?,Usas habitualmente chatGPT?,"Que carrera estudias, estudiaste o vas a estudiar?",Es tu primer curso online?,Por que elegiste los sabados?,"En base a la informacion de la figura, cual sera la venta si para manana se pronostica una maxima de 36 grados?"
8/19/2023 11:25:39,Argentina,25,Si,5,Si,6 meses,Si,Ing Industrial,No,Por mi horario de trabajo ,800
8/19/2023 11:26:00,Argentina,29,Si,4,Si,6 meses,Si,Administrador de empresas,No,Trabajo y es mas comodo,625
8/19/2023 11:26:13,Mexico,26,No,4,No,Nunca programe,,Comercio y negocios internacionales,No,son los dias que tengo menos pendientes,2800
8/19/2023 11:26:23,Argentina,27,Si,3,Si,5 años,Si,Economia,No,"Estar más fresco, el de analista de datos lo hice en la semana y fue un infierno",700
8/19/2023 11:26:25,México,24,No,6,Si,1 año,Si,Desarrollo de Videojuegos,No,Porque tomo clases entre semana,800
8/19/2023 11:26:27,Mexico,27,Si,6,No,Nunca programe,No,Lic. Negocios Internacionales,No,Entre semana no tengo tiempo,800
8/19/2023 11:26:29,Chile,22,Si,2,Si,5 años,Si,Tecnico en Desarrollo de Software,No,Porque me facilita poder laboral y estudiar a la vez.,
8/19/2023 11:26:35,Argentina,46,No,5,Si,1 año,Si,licenciatura en química,No,Me resulta más práctico ver todo el contenido semanal en un solo  día,1300
8/19/2023 11:26:39,argentina,23,No,6,No,Nunca programe,Si,ingenieria industrial,No,porque en la semana curso y no me coincidian los horarios para hacerlo durante la semana,800
8/19/2023 11:26:41,Argentina,31,No,2,No,Nunca programe,Si,Finanzas,No,Trabajo y Universidad,1000
8/19/2023 11:26:43,Argentina,41,No,8,Si,1 año,No,Ninguna,No,Aprovechamiento de horas,960
8/19/2023 11:26:48,México,29,Si,5,Si,5 años,Si,Economía,No,Para no interferir con mi trabajo,
8/19/2023 11:26:48,Argentina,28,Si,8,No,Nunca programe,Si,ninguna,No,Por trabajo,800
8/19/2023 11:26:48,Peru,23,Si,3,Si,5 años,Si,Ing de Software,No,Más tiempo libre ,900
8/19/2023 11:26:56,Argentina,28,Si,1,Si,1 año,Si,"Solo cursos de ingenieria en datos, programación y ciencia de datos",No,"Porque puedo estudiar todas las horas seguidas en un solo día y no en dos, y tengo tiempo para trabajar",800
