,tipo,barrio,sup_cubierta,piso,habs,precio
0,PH,Mataderos,40.0,0,2,62000.0
1,apartment,Mataderos,55.0,3,2,72000.0
2,apartment,Palermo Soho,30.0,1,1,111700.0
3,apartment,Palermo Soho,31.0,1,1,147900.0
4,PH,Mataderos,98.0,0,4,239000.0
5,apartment,Palermo,73.0,1,4,270500.0
6,apartment,Boedo,77.0,2,4,145000.0
7,apartment,Balvanera,124.0,13,5,240000.0
8,house,Boedo,324.0,0,3,550000.0
9,apartment,Caballito,50.0,10,3,110000.0
10,apartment,Almagro,40.0,1,2,109900.0
11,house,Capital Federal,165.0,0,2,170000.0
12,house,Capital Federal,350.0,0,3,490000.0
13,house,Capital Federal,261.0,0,3,440000.0
14,apartment,Belgrano,55.0,12,3,178000.0
15,house,Capital Federal,240.0,0,3,370000.0
16,PH,Colegiales,126.0,1,6,249000.0
17,house,Floresta,170.0,0,3,219500.0
18,apartment,Caballito,51.0,6,2,128000.0
19,apartment,Barrio Norte,35.0,1,1,93000.0
20,PH,Barracas,120.0,0,5,160000.0
21,PH,Palermo,200.0,0,2,315000.0
22,apartment,Belgrano,53.0,7,2,237895.0
23,apartment,Belgrano,53.0,7,2,237895.0
24,apartment,Nuñez,59.0,4,2,229000.0
25,apartment,Nuñez,39.0,4,1,135000.0
26,apartment,Belgrano,33.0,17,1,92600.0
27,PH,Almagro,85.0,0,4,165000.0
28,PH,Mataderos,28.0,0,1,53000.0
29,apartment,Palermo,175.0,1,4,440000.0
30,house,Pompeya,20.0,0,7,370000.0
31,apartment,Parque Chas,42.0,10,1,105900.0
32,apartment,Barracas,128.0,2,4,295000.0
33,PH,Villa Pueyrredón,68.0,0,3,198000.0
34,apartment,San Telmo,36.0,1,1,108356.0
35,apartment,Belgrano,130.0,4,3,520000.0
36,apartment,Palermo,175.0,2,5,379900.0
37,apartment,Belgrano,44.0,1,2,117000.0
38,apartment,Villa Urquiza,97.0,2,3,230000.0
39,apartment,Villa Devoto,54.0,2,2,142000.0
40,apartment,Barrio Norte,122.0,1,2,250000.0
41,house,Capital Federal,140.0,0,2,209000.0
42,house,Capital Federal,280.0,0,3,500000.0
43,PH,Mataderos,160.0,0,4,245000.0
44,PH,Mataderos,150.0,0,3,165000.0
45,house,Parque Avellaneda,166.0,0,3,160000.0
46,apartment,Coghlan,80.0,1,4,214000.0
47,apartment,San Telmo,55.0,1,3,94000.0
48,apartment,Boca,55.0,1,3,94000.0
49,apartment,Barracas,55.0,1,3,94000.0
50,PH,Belgrano,52.0,6,2,152000.0
51,PH,Belgrano,52.0,6,3,152000.0
52,PH,Belgrano,52.0,6,3,152000.0
53,PH,Coghlan,52.0,6,2,152000.0
54,PH,Coghlan,52.0,6,3,152000.0
55,apartment,San Cristobal,65.0,2,4,115000.0
56,apartment,Barrio Norte,29.0,7,2,100000.0
57,apartment,Colegiales,49.0,6,2,185000.0
58,apartment,Flores,45.0,6,2,100000.0
59,apartment,Flores,45.0,9,2,105000.0
60,apartment,Barrio Norte,102.0,1,3,290000.0
61,apartment,Flores,51.0,7,3,85000.0
62,PH,Almagro,167.0,0,4,289000.0
63,PH,Almagro,167.0,0,5,289000.0
